irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|ColCompleteNotes|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ExhTitle|ColPhysicalDescription|NarNarrative|ComName_tab|SciName|ColSum|ColCollectionDates|LocalSum|SpeNumberMale|SpeNumberFemale|SpeAge|SpePhase|SpeForm|PrepBy|SpeDatePrepared|DimLength|DimLengthUnit|DimWeightUnit|PhyColourPart|PhyColour|MulDescription|NumMulFiles
37324|NEWHM : B079.64|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Crested Goshawk||Non palearctic skin of a Crested Goshawk. Iris orange. cere & gape greenish-yellow. orbital skin yellow. bill black., Tarsus dark yellow, claw black.||Crested Goshawk|Accipitridae : : : Aves : Chordata|Stevens, H.|27/01/1906|Asia, India, Upper Assam, North Lakhimpur, Derpai|1||adult||non palearctic skin|Stevens, H.||||||||1
37325|NEWHM : B079.65|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Crested Goshawk||Non palearctic skin of a Crested Goshawk. Iris bright yellow.||Crested Goshawk|Accipitridae : : : Aves : Chordata|Stevens, H.|24/04/1903|Asia, India, Upper Assam, North Lakhimpur, Dejoo|1||adult||non palearctic skin|Stevens, H.||||||||1
37326|NEWHM : B079.66|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Crested Goshawk||Non palearctic skin of a Crested Goshawk||Crested Goshawk|Accipitridae : : : Aves : Chordata|Stevens, H.|24/07/1904|Asia, India, Upper Assam, North Lakhimpur, Dejoo|1||juvenile||non palearctic skin|Stevens, H.||||||||1
37327|NEWHM : B079.67|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Crested Goshawk||Non palearctic skin of a Crested Goshawk||Crested Goshawk|Accipitridae : : : Aves : Chordata|Stevens, H.|12/09/1908|Asia, India, Upper Assam, North Lakhimpur, Dejoo|1||juvenile||non palearctic skin|Stevens, H.||||||||1
37328|NEWHM : B079.68|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Crested Goshawk||Non palearctic skin of a Crested Goshawk. Iris light yellow. cere & orbital ring yellowish. lower mandible bluish,., Upper mandible black. tarsus dirty yellow. claw blackish horn.||Crested Goshawk|Accipitridae : : : Aves : Chordata|Stevens, H.|29/12/1901|Asia, India, Upper Assam, Dibrugarh, Rungagora||1|juvenile||non palearctic skin|Stevens, H.||||||||1
37329|NEWHM : B079.69|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Brown-crested Lizard Hawk||Non palearctic skin of a Brown-crested Lizard Hawk. 'undeveloped female. Total length 17.7 inches, iris pale golden yellow, cere and base of lower mandible pale bluish, bill horny black, gape dirty bluish, tarsus china white and claw dark blackish horny.'.||Brown-crested Lizard Hawk|Accipitridae : : : Aves : Chordata|Stevens, H.|15/09/1907|Asia, India, Upper Assam, North Lakhimpur, Dejoo (base of hills)||1|||non palearctic skin|Stevens, H.||305, 305, 30|mm|||||1
37330|NEWHM : B079.70|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Lesser Coucal||Non palearctic skin of a Lesser Coucal. Tail almost detached.||Lesser Coucal|Cuculidae : : : Aves : Chordata|Stevens, H.|1908-11-|Asia, India, Upper Assam, North Lakhimpur, Dejoo|||||non palearctic skin|Stevens, H.|||||||<SUMMARY-DESCRIPT>: Before repair.|1
37362|NEWHM : B080.02|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Yellow-throated Tit-babbler||Non palearctic skin of a Yellow-throated Tit-babbler||Yellow-throated Tit-Babbler|Muscicapidae - Timaliinae : : : Aves : Chordata|Stevens, H.|16/02/1906|Asia, India, Upper Assam, North Frontier, Abor Miri Hills, Beni Chang||1|||non palearctic skin|Stevens, H.||||||||1
37363|NEWHM : B080.03|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Yellow-throated Tit-babbler||Non palearctic skin of a Yellow-throated Tit-babbler||Yellow-throated Tit-Babbler|Muscicapidae - Timaliinae : : : Aves : Chordata|Stevens, H.|09/02/1906|Asia, India, Upper Assam, North Frontier, Abor Miri Hills, Beni Chang||1|||non palearctic skin|Stevens, H.||||||||1
37364|NEWHM : B080.04|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Yellow-throated Tit-babbler||Non palearctic skin of a Yellow-throated Tit-babbler||Yellow-throated Tit-Babbler|Muscicapidae - Timaliinae : : : Aves : Chordata|Stevens, H.|21/02/1906|Asia, India, Upper Assam, North Frontier, Abor Miri Hills, Beni Chang|1||||non palearctic skin|Stevens, H.||||||||1
37365|NEWHM : B080.05|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Yellow-throated Tit-babbler||Non palearctic skin of a Yellow-throated Tit-babbler||Yellow-throated Tit-Babbler|Muscicapidae - Timaliinae : : : Aves : Chordata|Stevens, H.|10/02/1906|Asia, India, Upper Assam, North Frontier, Abor Miri Hills, Beni Chang|1||||non palearctic skin|Stevens, H.||||||||1
37382|NEWHM : B080.22|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Large Hawk-Cuckoo||Non palearctic skin of a Large Hawk-Cuckoo||Large Hawk-cuckoo|Cuculidae : : : Aves : Chordata|Stevens, H.|03/01/1912|Sikkim Border, Rungbong Valley, Gopaldhara||1|||non palearctic skin|Stevens, H.||221|mm|||||1
37383|NEWHM : B080.23|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Large Hawk-Cuckoo||Non palearctic skin of a Large Hawk-Cuckoo||Large Hawk-cuckoo|Cuculidae : : : Aves : Chordata|Stevens, H.|31/03/1911|Asia, India, Darjeeling, Rungbong Valley, Gopaldhara|1||||non palearctic skin|Stevens, H.||217|mm|||||1
37384|NEWHM : B080.24|Natural Sciences|Vertebrate Zoology|Birds||1|non palearctic bird skin|Large Hawk-Cuckoo||Non palearctic skin of a Large Hawk-Cuckoo||Large Hawk-cuckoo|Cuculidae : : : Aves : Chordata|Lingren, O.|31/01/1916|Asia, India, Darjeeling, Rungbong Valley, Turzum||1|||non palearctic skin|||217|mm|||||1
