irn|ColObjectNumber|ColDepartment|ColCollection|ColSubCollection|SpeNumberSpecimens|ClaObjectName_tab|ColOtherName|ColPhysicalDescription|NarNarrative|GeoAge|GeoZone|GeoRock|ComName_tab|SciName|IdeDateIdentified|ColSum|ColCollectionDates|LocalSum|LocalPrecise|DimHeight|DimLength|DimWidth|DimDepth|DimDiameter|InsType|MulDescription|NumMulFiles
143948|NEWHM : HANM.2966|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified specimen.|||||||||||||||||||1
143949|NEWHM : HANM.2967|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143950|NEWHM : HANM.2968|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143951|NEWHM : HANM.2969|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143952|NEWHM : HANM.2970|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143953|NEWHM : HANM.2971|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|5|fossil plant||Unidentified specimen.|||||||||||||||||||1
143954|NEWHM : HANM.2972|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143955|NEWHM : HANM.2973|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|unidentified specimen||Unidentified specimen.|||||||||||||||||||1
143956|NEWHM : HANM.2974|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143957|NEWHM : HANM.2975|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143958|NEWHM : HANM.2976|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143959|NEWHM : HANM.2977|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143961|NEWHM : HANM.2979|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143962|NEWHM : HANM.2980|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143963|NEWHM : HANM.2981|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143964|NEWHM : HANM.2982|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
143965|NEWHM : HANM.2983|Natural Sciences|Palaeobiology|GNM: Hancock Temporary Numbers|1|fossil plant||Unidentified plant fossil.|||||||||||||||||||1
